Airport.Code,Airport.Name,Time.Label,Time.Month,Time.Month Name,Time.Year,Statistics.# of Delays.Carrier,Statistics.# of Delays.Late Aircraft,Statistics.# of Delays.National Aviation System,Statistics.# of Delays.Security,Statistics.# of Delays.Weather,Statistics.Carriers.Names,Statistics.Carriers.Total,Statistics.Flights.Cancelled,Statistics.Flights.Delayed,Statistics.Flights.Diverted,Statistics.Flights.On Time,Statistics.Flights.Total,Statistics.Minutes Delayed.Carrier,Statistics.Minutes Delayed.Late Aircraft,Statistics.Minutes Delayed.National Aviation System,Statistics.Minutes Delayed.Security,Statistics.Minutes Delayed.Total,Statistics.Minutes Delayed.Weather
JFK,"New York, NY: John F. Kennedy International",2004/11,11,November,2004,358,273,623,19,75,"American Airlines Inc.,JetBlue Airways,Continental Air Lines Inc.,Independence Air,Delta Air Lines Inc.,Atlantic Southeast Airlines,America West Airlines Inc.,American Eagle Airlines Inc.,Northwest Airlines Inc.,Comair Inc.,ExpressJet Airlines Inc.,United Air Lines Inc.",12,35,1345,5,6424,7809,16922,12347,17588,704,52212,4651
JFK,"New York, NY: John F. Kennedy International",2004/12,12,December,2004,648,816,846,29,143,"American Airlines Inc.,JetBlue Airways,Continental Air Lines Inc.,Independence Air,Delta Air Lines Inc.,Atlantic Southeast Airlines,America West Airlines Inc.,American Eagle Airlines Inc.,Northwest Airlines Inc.,Comair Inc.,ExpressJet Airlines Inc.,United Air Lines Inc.",12,191,2480,15,5521,8207,37393,49160,33152,1013,132089,11371
JFK,"New York, NY: John F. Kennedy International",2005/01,1,January,2005,602,759,892,18,131,"American Airlines Inc.,JetBlue Airways,Continental Air Lines Inc.,Independence Air,Delta Air Lines Inc.,Atlantic Southeast Airlines,America West Airlines Inc.,American Eagle Airlines Inc.,Northwest Airlines Inc.,Comair Inc.,ExpressJet Airlines Inc.,United Air Lines Inc.",12,455,2404,31,5212,8102,33791,44993,40090,608,129431,9949
JFK,"New York, NY: John F. Kennedy International",2005/02,2,Febuary,2005,441,571,693,8,69,"American Airlines Inc.,JetBlue Airways,Continental Air Lines Inc.,Independence Air,Delta Air Lines Inc.,Atlantic Southeast Airlines,America West Airlines Inc.,American Eagle Airlines Inc.,Northwest Airlines Inc.,Comair Inc.,ExpressJet Airlines Inc.,United Air Lines Inc.",12,122,1784,10,5536,7452,24958,28207,21818,351,78638,3304
JFK,"New York, NY: John F. Kennedy International",2005/03,3,March,2005,532,927,888,18,111,"American Airlines Inc.,JetBlue Airways,Continental Air Lines Inc.,Independence Air,Delta Air Lines Inc.,Atlantic Southeast Airlines,America West Airlines Inc.,American Eagle Airlines Inc.,Northwest Airlines Inc.,Comair Inc.,ExpressJet Airlines Inc.,United Air Lines Inc.",12,172,2475,52,5887,8586,29291,57958,39480,882,136506,8895
JFK,"New York, NY: John F. Kennedy International",2005/04,4,April,2005,405,500,1077,10,62,"American Airlines Inc.,JetBlue Airways,Continental Air Lines Inc.,Independence Air,Delta Air Lines Inc.,Atlantic Southeast Airlines,America West Airlines Inc.,American Eagle Airlines Inc.,Northwest Airlines Inc.,Comair Inc.,ExpressJet Airlines Inc.,United Air Lines Inc.",12,96,2052,37,6239,8424,21979,31652,49854,238,109517,5794
JFK,"New York, NY: John F. Kennedy International",2005/05,5,May,2005,417,433,645,7,69,"American Airlines Inc.,JetBlue Airways,Continental Air Lines Inc.,Independence Air,Delta Air Lines Inc.,Atlantic Southeast Airlines,America West Airlines Inc.,American Eagle Airlines Inc.,Northwest Airlines Inc.,Comair Inc.,ExpressJet Airlines Inc.,United Air Lines Inc.",12,26,1573,5,7011,8615,21435,18922,18330,197,62870,3986
JFK,"New York, NY: John F. Kennedy International",2005/06,6,June,2005,458,751,1336,6,129,"American Airlines Inc.,JetBlue Airways,Continental Air Lines Inc.,Independence Air,Delta Air Lines Inc.,Atlantic Southeast Airlines,America West Airlines Inc.,American Eagle Airlines Inc.,Northwest Airlines Inc.,Comair Inc.,ExpressJet Airlines Inc.,United Air Lines Inc.",12,130,2677,61,5738,8606,29079,48261,66969,137,155731,11285
JFK,"New York, NY: John F. Kennedy International",2005/07,7,July,2005,548,1165,1868,12,144,"American Airlines Inc.,JetBlue Airways,Continental Air Lines Inc.,Independence Air,Delta Air Lines Inc.,Atlantic Southeast Airlines,America West Airlines Inc.,American Eagle Airlines Inc.,Northwest Airlines Inc.,Comair Inc.,ExpressJet Airlines Inc.,United Air Lines Inc.",12,162,3738,47,5238,9185,36156,80765,100376,560,230911,13054
JFK,"New York, NY: John F. Kennedy International",2005/08,8,August,2005,514,801,1213,15,147,"American Airlines Inc.,JetBlue Airways,Continental Air Lines Inc.,Independence Air,Delta Air Lines Inc.,Atlantic Southeast Airlines,America West Airlines Inc.,American Eagle Airlines Inc.,Northwest Airlines Inc.,Comair Inc.,ExpressJet Airlines Inc.,United Air Lines Inc.",12,129,2689,68,6365,9251,29392,46717,49607,493,136155,9946
JFK,"New York, NY: John F. Kennedy International",2005/09,9,September,2005,323,328,972,5,82,"American Airlines Inc.,JetBlue Airways,Continental Air Lines Inc.,Independence Air,Delta Air Lines Inc.,Atlantic Southeast Airlines,America West Airlines Inc.,American Eagle Airlines Inc.,Northwest Airlines Inc.,Comair Inc.,ExpressJet Airlines Inc.,United Air Lines Inc.",12,105,1711,12,6556,8384,17897,19213,44324,198,86804,5172
JFK,"New York, NY: John F. Kennedy International",2005/10,10,October,2005,376,453,1217,7,109,"American Airlines Inc.,JetBlue Airways,Continental Air Lines Inc.,Independence Air,Delta Air Lines Inc.,Atlantic Southeast Airlines,America West Airlines Inc.,American Eagle Airlines Inc.,Northwest Airlines Inc.,Comair Inc.,ExpressJet Airlines Inc.,United Air Lines Inc.",12,193,2161,17,6262,8633,18302,24346,57766,349,107822,7059
JFK,"New York, NY: John F. Kennedy International",2005/11,11,November,2005,484,619,976,7,79,"American Airlines Inc.,JetBlue Airways,Continental Air Lines Inc.,Delta Air Lines Inc.,Atlantic Southeast Airlines,America West Airlines Inc.,American Eagle Airlines Inc.,Northwest Airlines Inc.,Comair Inc.,ExpressJet Airlines Inc.,United Air Lines Inc.",11,55,2165,28,6199,8447,25500,31663,33112,137,94582,4170
JFK,"New York, NY: John F. Kennedy International",2005/12,12,December,2005,637,980,997,15,90,"American Airlines Inc.,JetBlue Airways,Continental Air Lines Inc.,Delta Air Lines Inc.,Atlantic Southeast Airlines,America West Airlines Inc.,American Eagle Airlines Inc.,Northwest Airlines Inc.,Comair Inc.,ExpressJet Airlines Inc.,United Air Lines Inc.",11,104,2718,39,5397,8258,37966,65118,46190,753,158452,8425
JFK,"New York, NY: John F. Kennedy International",2006/01,1,January,2006,555,669,990,7,88,"American Airlines Inc.,JetBlue Airways,Continental Air Lines Inc.,Delta Air Lines Inc.,Atlantic Southeast Airlines,American Eagle Airlines Inc.,Northwest Airlines Inc.,Comair Inc.,ExpressJet Airlines Inc.,United Air Lines Inc.,US Airways Inc.,Mesa Airlines Inc.",12,106,2311,40,5781,8238,31597,40211,46852,393,126282,7229
JFK,"New York, NY: John F. Kennedy International",2006/02,2,Febuary,2006,438,808,556,11,58,"American Airlines Inc.,JetBlue Airways,Continental Air Lines Inc.,Delta Air Lines Inc.,Atlantic Southeast Airlines,American Eagle Airlines Inc.,Northwest Airlines Inc.,Comair Inc.,ExpressJet Airlines Inc.,United Air Lines Inc.,US Airways Inc.,Mesa Airlines Inc.",12,334,1871,17,5272,7494,24574,50940,22493,280,109963,11676
JFK,"New York, NY: John F. Kennedy International",2006/03,3,March,2006,492,574,796,9,38,"American Airlines Inc.,JetBlue Airways,Continental Air Lines Inc.,Delta Air Lines Inc.,Atlantic Southeast Airlines,American Eagle Airlines Inc.,Northwest Airlines Inc.,Comair Inc.,ExpressJet Airlines Inc.,United Air Lines Inc.,US Airways Inc.,Mesa Airlines Inc.",12,60,1907,20,6671,8658,24045,28677,25335,313,81205,2835
JFK,"New York, NY: John F. Kennedy International",2006/04,4,April,2006,421,551,861,9,32,"American Airlines Inc.,JetBlue Airways,Continental Air Lines Inc.,Delta Air Lines Inc.,Atlantic Southeast Airlines,American Eagle Airlines Inc.,Northwest Airlines Inc.,Comair Inc.,ExpressJet Airlines Inc.,United Air Lines Inc.,US Airways Inc.,Mesa Airlines Inc.",12,30,1874,20,6705,8629,21873,26728,26720,384,77425,1720
JFK,"New York, NY: John F. Kennedy International",2006/05,5,May,2006,401,469,784,5,67,"American Airlines Inc.,JetBlue Airways,Continental Air Lines Inc.,Delta Air Lines Inc.,Atlantic Southeast Airlines,American Eagle Airlines Inc.,Northwest Airlines Inc.,Comair Inc.,ExpressJet Airlines Inc.,United Air Lines Inc.,US Airways Inc.,Mesa Airlines Inc.",12,58,1727,42,6648,8475,22891,28201,26450,215,82431,4674
JFK,"New York, NY: John F. Kennedy International",2006/06,6,June,2006,560,776,1381,6,135,"American Airlines Inc.,JetBlue Airways,Continental Air Lines Inc.,Delta Air Lines Inc.,Atlantic Southeast Airlines,American Eagle Airlines Inc.,Northwest Airlines Inc.,Comair Inc.,ExpressJet Airlines Inc.,ATA Airlines d/b/a ATA,United Air Lines Inc.,US Airways Inc.,Mesa Airlines Inc.",13,123,2858,53,5708,8742,34696,56529,72833,170,175565,11337
JFK,"New York, NY: John F. Kennedy International",2006/07,7,July,2006,632,946,1511,9,157,"American Airlines Inc.,JetBlue Airways,Continental Air Lines Inc.,Delta Air Lines Inc.,Atlantic Southeast Airlines,American Eagle Airlines Inc.,Northwest Airlines Inc.,Comair Inc.,ATA Airlines d/b/a ATA,United Air Lines Inc.,US Airways Inc.,ExpressJet Airlines Inc.,Mesa Airlines Inc.",13,185,3253,145,6095,9678,42176,78490,86964,286,222487,14571
JFK,"New York, NY: John F. Kennedy International",2006/08,8,August,2006,575,814,1277,44,153,"American Airlines Inc.,JetBlue Airways,Continental Air Lines Inc.,Delta Air Lines Inc.,Atlantic Southeast Airlines,American Eagle Airlines Inc.,Northwest Airlines Inc.,Comair Inc.,ATA Airlines d/b/a ATA,United Air Lines Inc.,US Airways Inc.,ExpressJet Airlines Inc.,Mesa Airlines Inc.",13,137,2862,37,6952,9988,38413,56338,72960,1953,182513,12849
JFK,"New York, NY: John F. Kennedy International",2006/09,9,September,2006,533,624,1450,7,154,"American Airlines Inc.,JetBlue Airways,Continental Air Lines Inc.,Delta Air Lines Inc.,Atlantic Southeast Airlines,American Eagle Airlines Inc.,Northwest Airlines Inc.,Comair Inc.,United Air Lines Inc.,US Airways Inc.,ExpressJet Airlines Inc.,Mesa Airlines Inc.",12,173,2767,29,6672,9641,37288,44134,84465,291,178166,11988
JFK,"New York, NY: John F. Kennedy International",2006/10,10,October,2006,547,745,1366,12,194,"American Airlines Inc.,JetBlue Airways,Continental Air Lines Inc.,Delta Air Lines Inc.,Atlantic Southeast Airlines,American Eagle Airlines Inc.,Northwest Airlines Inc.,Comair Inc.,United Air Lines Inc.,US Airways Inc.,ExpressJet Airlines Inc.,Mesa Airlines Inc.",12,157,2863,15,7261,10296,32706,45848,65815,353,158719,13997
JFK,"New York, NY: John F. Kennedy International",2006/11,11,November,2006,586,850,1808,5,184,"American Airlines Inc.,JetBlue Airways,Continental Air Lines Inc.,Delta Air Lines Inc.,Atlantic Southeast Airlines,American Eagle Airlines Inc.,Northwest Airlines Inc.,Comair Inc.,United Air Lines Inc.,US Airways Inc.,ExpressJet Airlines Inc.,Mesa Airlines Inc.",12,184,3430,29,6454,10097,37592,57425,115609,125,223560,12809
JFK,"New York, NY: John F. Kennedy International",2006/12,12,December,2006,723,1160,1785,8,153,"American Airlines Inc.,JetBlue Airways,Continental Air Lines Inc.,Delta Air Lines Inc.,Atlantic Southeast Airlines,American Eagle Airlines Inc.,Northwest Airlines Inc.,Comair Inc.,United Air Lines Inc.,US Airways Inc.,ExpressJet Airlines Inc.,Mesa Airlines Inc.",12,220,3831,42,6435,10528,44440,74647,100032,254,231056,11683
JFK,"New York, NY: John F. Kennedy International",2007/01,1,January,2007,594,961,1526,10,133,"American Airlines Inc.,JetBlue Airways,Continental Air Lines Inc.,Delta Air Lines Inc.,Atlantic Southeast Airlines,American Eagle Airlines Inc.,Northwest Airlines Inc.,Comair Inc.,United Air Lines Inc.,US Airways Inc.,ExpressJet Airlines Inc.,Mesa Airlines Inc.",12,150,3223,28,7088,10489,37244,56590,73982,437,176941,8688
JFK,"New York, NY: John F. Kennedy International",2007/02,2,Febuary,2007,649,1028,1397,7,124,"American Airlines Inc.,JetBlue Airways,Continental Air Lines Inc.,Delta Air Lines Inc.,Atlantic Southeast Airlines,American Eagle Airlines Inc.,Northwest Airlines Inc.,Comair Inc.,United Air Lines Inc.,US Airways Inc.,ExpressJet Airlines Inc.,Mesa Airlines Inc.",12,985,3206,34,5415,9640,45690,87386,76484,317,221087,11210
JFK,"New York, NY: John F. Kennedy International",2007/03,3,March,2007,694,1095,2304,8,161,"American Airlines Inc.,JetBlue Airways,Continental Air Lines Inc.,Delta Air Lines Inc.,Atlantic Southeast Airlines,American Eagle Airlines Inc.,Northwest Airlines Inc.,Comair Inc.,United Air Lines Inc.,US Airways Inc.,ExpressJet Airlines Inc.,Mesa Airlines Inc.",12,522,4263,43,6186,11014,44194,82719,107094,233,245936,11696
JFK,"New York, NY: John F. Kennedy International",2007/04,4,April,2007,618,1095,2167,8,135,"American Airlines Inc.,JetBlue Airways,Continental Air Lines Inc.,Delta Air Lines Inc.,American Eagle Airlines Inc.,Northwest Airlines Inc.,Comair Inc.,United Air Lines Inc.,US Airways Inc.,ExpressJet Airlines Inc.,Mesa Airlines Inc.",11,331,4022,48,6264,10665,41266,77955,121424,398,251610,10567
JFK,"New York, NY: John F. Kennedy International",2007/05,5,May,2007,539,626,2228,9,106,"American Airlines Inc.,JetBlue Airways,Continental Air Lines Inc.,Delta Air Lines Inc.,American Eagle Airlines Inc.,Northwest Airlines Inc.,Comair Inc.,United Air Lines Inc.,US Airways Inc.,Mesa Airlines Inc.",10,99,3509,46,6909,10563,32722,40781,110035,290,192730,8902
JFK,"New York, NY: John F. Kennedy International",2007/06,6,June,2007,696,898,2648,6,141,"American Airlines Inc.,JetBlue Airways,Continental Air Lines Inc.,Delta Air Lines Inc.,American Eagle Airlines Inc.,Northwest Airlines Inc.,Comair Inc.,United Air Lines Inc.,US Airways Inc.,Mesa Airlines Inc.",10,468,4386,95,5540,10489,53454,75654,195110,367,337477,12892
JFK,"New York, NY: John F. Kennedy International",2007/07,7,July,2007,667,1061,2231,6,196,"American Airlines Inc.,JetBlue Airways,Continental Air Lines Inc.,Delta Air Lines Inc.,American Eagle Airlines Inc.,Northwest Airlines Inc.,Comair Inc.,United Air Lines Inc.,US Airways Inc.,Mesa Airlines Inc.",10,441,4162,86,6275,10964,50738,96191,142416,358,307184,17481
JFK,"New York, NY: John F. Kennedy International",2007/08,8,August,2007,629,1021,2293,6,190,"American Airlines Inc.,JetBlue Airways,Continental Air Lines Inc.,Delta Air Lines Inc.,American Eagle Airlines Inc.,Northwest Airlines Inc.,Comair Inc.,United Air Lines Inc.,US Airways Inc.,Mesa Airlines Inc.",10,306,4138,128,6492,11064,46670,83026,159216,253,305998,16833
JFK,"New York, NY: John F. Kennedy International",2007/09,9,September,2007,384,349,1577,2,79,"American Airlines Inc.,JetBlue Airways,Continental Air Lines Inc.,Delta Air Lines Inc.,American Eagle Airlines Inc.,Northwest Airlines Inc.,Comair Inc.,United Air Lines Inc.,US Airways Inc.,Mesa Airlines Inc.",10,101,2392,23,7727,10243,25230,21600,75215,161,127291,5085
JFK,"New York, NY: John F. Kennedy International",2007/10,10,October,2007,434,548,1729,11,99,"American Airlines Inc.,JetBlue Airways,Continental Air Lines Inc.,Delta Air Lines Inc.,American Eagle Airlines Inc.,Northwest Airlines Inc.,Comair Inc.,United Air Lines Inc.,US Airways Inc.,Mesa Airlines Inc.",10,211,2816,51,7414,10492,29854,39189,107102,238,184937,8554
JFK,"New York, NY: John F. Kennedy International",2007/11,11,November,2007,473,550,1555,2,64,"American Airlines Inc.,JetBlue Airways,Continental Air Lines Inc.,Delta Air Lines Inc.,American Eagle Airlines Inc.,Northwest Airlines Inc.,Comair Inc.,United Air Lines Inc.,US Airways Inc.,ExpressJet Airlines Inc.,Mesa Airlines Inc.",11,85,2642,17,7555,10299,30321,37034,76103,105,147497,3934
JFK,"New York, NY: John F. Kennedy International",2007/12,12,December,2007,714,1033,1659,2,125,"American Airlines Inc.,JetBlue Airways,Continental Air Lines Inc.,Delta Air Lines Inc.,Atlantic Southeast Airlines,American Eagle Airlines Inc.,Northwest Airlines Inc.,Comair Inc.,United Air Lines Inc.,US Airways Inc.,Mesa Airlines Inc.",11,389,3537,35,6651,10612,45373,75856,99082,60,230517,10142
JFK,"New York, NY: John F. Kennedy International",2008/01,1,January,2008,520,648,1080,3,105,"American Airlines Inc.,JetBlue Airways,Continental Air Lines Inc.,Delta Air Lines Inc.,American Eagle Airlines Inc.,Northwest Airlines Inc.,Comair Inc.,United Air Lines Inc.,US Airways Inc.,Mesa Airlines Inc.",10,230,2356,21,7432,10039,31714,40461,45212,80,126289,8822
JFK,"New York, NY: John F. Kennedy International",2008/02,2,Febuary,2008,461,747,1456,4,88,"American Airlines Inc.,JetBlue Airways,Continental Air Lines Inc.,Delta Air Lines Inc.,American Eagle Airlines Inc.,Northwest Airlines Inc.,Comair Inc.,United Air Lines Inc.,US Airways Inc.,Mesa Airlines Inc.",10,411,2755,31,6348,9545,32460,55268,87869,127,181714,5990
JFK,"New York, NY: John F. Kennedy International",2008/03,3,March,2008,552,805,1404,1,87,"American Airlines Inc.,JetBlue Airways,Continental Air Lines Inc.,Delta Air Lines Inc.,American Eagle Airlines Inc.,Northwest Airlines Inc.,Comair Inc.,United Air Lines Inc.,US Airways Inc.,Mesa Airlines Inc.",10,250,2853,41,7205,10349,38068,55062,80759,56,180378,6433
JFK,"New York, NY: John F. Kennedy International",2008/04,4,April,2008,458,629,1405,0,58,"American Airlines Inc.,JetBlue Airways,Continental Air Lines Inc.,Delta Air Lines Inc.,American Eagle Airlines Inc.,Northwest Airlines Inc.,Comair Inc.,United Air Lines Inc.,US Airways Inc.,Mesa Airlines Inc.",10,153,2550,41,7161,9905,32199,45894,84185,25,166334,4031
JFK,"New York, NY: John F. Kennedy International",2008/05,5,May,2008,404,461,1166,0,67,"American Airlines Inc.,JetBlue Airways,Continental Air Lines Inc.,Delta Air Lines Inc.,American Eagle Airlines Inc.,Northwest Airlines Inc.,Comair Inc.,United Air Lines Inc.,US Airways Inc.,Mesa Airlines Inc.",10,66,2097,33,7467,9663,25330,29634,60870,84,120401,4483
JFK,"New York, NY: John F. Kennedy International",2008/06,6,June,2008,561,887,1768,7,159,"American Airlines Inc.,JetBlue Airways,Continental Air Lines Inc.,Delta Air Lines Inc.,Atlantic Southeast Airlines,American Eagle Airlines Inc.,Northwest Airlines Inc.,Comair Inc.,United Air Lines Inc.,US Airways Inc.,Mesa Airlines Inc.",11,332,3382,95,6121,9930,46301,67186,123997,225,249345,11636
JFK,"New York, NY: John F. Kennedy International",2008/07,7,July,2008,651,791,2650,5,189,"American Airlines Inc.,JetBlue Airways,Continental Air Lines Inc.,Delta Air Lines Inc.,Atlantic Southeast Airlines,American Eagle Airlines Inc.,Northwest Airlines Inc.,Comair Inc.,United Air Lines Inc.,US Airways Inc.",10,514,4289,99,6597,11499,57571,65319,182353,268,320349,14838
JFK,"New York, NY: John F. Kennedy International",2008/08,8,August,2008,648,811,2480,5,176,"American Airlines Inc.,JetBlue Airways,Continental Air Lines Inc.,Delta Air Lines Inc.,Atlantic Southeast Airlines,American Eagle Airlines Inc.,Northwest Airlines Inc.,Comair Inc.,United Air Lines Inc.,US Airways Inc.,Mesa Airlines Inc.",11,535,4121,71,6693,11420,58353,69130,173739,126,316419,15071
JFK,"New York, NY: John F. Kennedy International",2008/09,9,September,2008,315,308,1593,0,93,"American Airlines Inc.,JetBlue Airways,Continental Air Lines Inc.,Delta Air Lines Inc.,Atlantic Southeast Airlines,American Eagle Airlines Inc.,Northwest Airlines Inc.,Comair Inc.,United Air Lines Inc.,US Airways Inc.,Mesa Airlines Inc.",11,182,2310,26,6452,8970,24380,22189,90600,7,144817,7641
JFK,"New York, NY: John F. Kennedy International",2008/10,10,October,2008,329,212,963,3,44,"American Airlines Inc.,JetBlue Airways,Delta Air Lines Inc.,American Eagle Airlines Inc.,Northwest Airlines Inc.,Comair Inc.,United Air Lines Inc.,US Airways Inc.,Mesa Airlines Inc.",9,67,1550,42,7385,9044,21101,11884,42852,74,78936,3025
JFK,"New York, NY: John F. Kennedy International",2008/11,11,November,2008,363,301,1308,3,74,"American Airlines Inc.,JetBlue Airways,Delta Air Lines Inc.,American Eagle Airlines Inc.,Northwest Airlines Inc.,Comair Inc.,United Air Lines Inc.,US Airways Inc.,Mesa Airlines Inc.",9,102,2048,11,6858,9019,24911,21765,74244,93,126673,5660
JFK,"New York, NY: John F. Kennedy International",2008/12,12,December,2008,670,806,1594,4,163,"American Airlines Inc.,JetBlue Airways,Delta Air Lines Inc.,American Eagle Airlines Inc.,Northwest Airlines Inc.,Comair Inc.,United Air Lines Inc.,US Airways Inc.,Mesa Airlines Inc.",9,358,3238,19,5804,9419,58016,64596,96488,152,234785,15533
JFK,"New York, NY: John F. Kennedy International",2009/01,1,January,2009,525,498,1150,1,132,"American Airlines Inc.,JetBlue Airways,Delta Air Lines Inc.,American Eagle Airlines Inc.,Northwest Airlines Inc.,Comair Inc.,United Air Lines Inc.,US Airways Inc.,Mesa Airlines Inc.",9,251,2309,16,6601,9177,39444,31287,54035,39,135232,10427
JFK,"New York, NY: John F. Kennedy International",2009/02,2,Febuary,2009,315,337,963,0,50,"American Airlines Inc.,JetBlue Airways,Delta Air Lines Inc.,American Eagle Airlines Inc.,Northwest Airlines Inc.,Comair Inc.,United Air Lines Inc.,US Airways Inc.,Mesa Airlines Inc.",9,96,1663,9,6712,8480,20152,19869,47895,17,91176,3243
JFK,"New York, NY: John F. Kennedy International",2009/03,3,March,2009,395,411,1074,3,46,"American Airlines Inc.,JetBlue Airways,Delta Air Lines Inc.,American Eagle Airlines Inc.,Northwest Airlines Inc.,Comair Inc.,United Air Lines Inc.,US Airways Inc.,Mesa Airlines Inc.",9,295,1929,44,7327,9595,27759,26633,59221,71,117758,4074
JFK,"New York, NY: John F. Kennedy International",2009/04,4,April,2009,429,501,1748,3,81,"American Airlines Inc.,JetBlue Airways,Delta Air Lines Inc.,American Eagle Airlines Inc.,Northwest Airlines Inc.,Comair Inc.,United Air Lines Inc.,US Airways Inc.,Mesa Airlines Inc.",9,415,2761,55,6428,9659,32663,37427,129678,217,207530,7545
